Arranged number,Number,Book,Brand,Shade Name,Description,Finish,Stamping Polish,Topper/Effect,Notes
115,1,1,Red Eyed Lacquer,O-pal-eeze,Gray with iridescent Flakies; opal,Crelly,,,January 21 PPU
119,2,1,Stella Chroma,Slam!,Purple multi-chrome with Flakies,Flakies,,,January 21 PPU
127,3,2,Cirque Colors,Mystic Moonstone,White Iridescent,Shimmer,,,2020 Advent Calendar Mini
75,4,1,Cirque Colors,Bonbon,Pink with Flakies,Jelly,,,2020 Advent Calendar Mini
,Destash,1,Cirque Colors,Candy Apple (Charlotte),Red with Flakies,Jelly,,,2020 Advent Calendar Mini/Gave to Charlotte
64,6,1,Cirque Colors,Sugar Plum,Lavender with Flakies,Jelly,,,2020 Advent Calendar Mini
,Destash,1,Cirque Colors,Sour Punch (Charlotte),Neon green with Flakies,Jelly,,,2020 Advent Calendar Mini/Gave to Charlotte
143,8,2,Twinkled T,Holo Storm,Fine Rainbow Glitter,Glitter Bomb,,Topper,Not opaque
26,9,1,Twinkled T,No Filter,Neon Green,Crème,Yes,,
129,10,2,Twinkled T,Glow Up,White,Crème,Yes,,Streaks
60,11,1,Maniology,Frigid,Blue toned purple,Crème,Yes,,
105,12,1,Maniology,Fleece,Silver metallic,Metallic,Yes,,
46,13,1,Maniology,Shark Bait,Dusky Blue,Crème,Yes,,
8,14,1,Maniology,Marmalade,Pumpkin Orange,Crème,Yes,,
45,15,1,Maniology,Tear Drop,True Blue,Crème,Yes,,
86,16,1,Maniology,Watermelon,Dusky Rose,Crème,Yes,,
14,17,1,Maniology,Pencils Down,Neon Yellow,Crème,Yes,,
32,18,1,Maniology,Soft Sage,Mint,Crème,Yes,,Mini & Full Size
21,19,1,Maniology,Rind,Army Green,Crème,Yes,,
19,20,1,Maniology,Crisp,Dark True Olive,Crème,Yes,,
65,21,1,Maniology,Monarch Dream,Pastel Magenta/Lavender,Crème,Yes,,
98,22,1,Maniology,Cozy,Copper Metallic,Metallic,Yes,,
123,23,2,Maniology,Straight Up Black,Opaque Black,Crème,Yes,,Impossible to clean up
144,24,2,Maniology,Smudge Free Unicorn Top Coat,Iridescent Holo Top Coat,Top Coat,,Unicorn Top Coat,
29,25,1,Maniology,Goulish,Neon Green Metallic,Metallic,Yes,,
28,26,1,Maniology,Limelight,Lime,Crème,Yes,,
15,27,1,Maniology,Buttercup,Pale pastel yellow,Crème,Yes,,
71,28,1,Maniology,Fuchsia Flame,Neon Pink,Crème,Yes,,
68,29,1,Maniology,Shadow Chaser ,Lisa Frank Purple,Crème,Yes,,
58,30,1,Maniology,Thriller ,Purple Holo,Holo,Yes,,
59,31,1,Maniology,Unicorn Horn,Purple Metallic,Metallic,Yes,,
54,32,1,NARS,Purple Rain,Dark Royal Purple,,,,
94,33,1,NARS,Delos ,Copper Brown,,,,
91,34,1,NARS,Arabesque,Rose gold glitter,,,Topper,Not opaque; Good coverage in 3 coats
37,35,1,NARS,Blkr,Dark Royal Blue ,Crème,,,Looks black in two coats
102,36,1,NARS,Amarapura,Silver,Metallic,,,Almost Matte
99,37,1,NARS,Milos ,Metallic Gold,Metallic,,,3 coats on swatch 
49,38,1,NARS,Ikiru,Sky Blue,Crème,,,
12,39,1,NARS,Orgasm,Peach with Gold Holo,Holo,,,Mostly Sheer; 3 coats on swatch
73,40,1,NARS,Schiap,Barbie Pink,Crème,,,
20,41,1,NARS,Mash,Khaki Green,,,,
16,42,1,NARS,Night Porter,Forest Green (Dark Emerald),,,,Looks almost black 
124,43,2,NARS,Back Room,Black,,,,One Coat Black
112,44,1,NARS,Black Fire,Blue Grey with Silver Holo,,,,
117,45,1,NARS,Night Breed,Black with Silver Glitter,Glitter ,,,Textured
109,46,1,NARS,Hard to Get,Brown based silver/grey,,,,
2,47,1,NARS,Torre de Oro,True Red,Crème,,,
38,48,1,Mooncat/LLP,Larkspur,Blue with Rainbow Holo,Holo,,,
116,49,1,ILNP,Cityscape,Navy with Rainbow Holo,Holo,,,
120,50,1,ILNP,Eclipse,Gunmetal to Red Multichrome,Multichrome,,,
125,51,2,ILNP,Mega (S),Silver Rainbow Holo,Holo,,,
18,52,1,ILNP,Salem,Emerald to Purple Multichrome glitter,Glitter ,,,
113,53,1,ILNP,The Boulevard,Blue Grey with Gold Holo,Holo,,,
33,54,1,Cirque Colors,Jade Jelly,Jade Green,Jelly,,,Jade Nail Art Set
128,55,2,Cirque Colors,Linen Sheer,Sheer White,Sheer,,,Jade Nail Art Set
57,56,1,Cirque Colors,Royal Jelly,Royal Purple ,Jelly,,,Amethyst Nail Art Set
63,57,1,Cirque Colors,Lilac Jelly ,Bright Lilac,Jelly,,,Amethyst Nail Art Set
126,58,2,Cirque Colors,Thistle Sheer,Milky Lavender,Sheer,,,Amethyst Nail Art Set
84,59,1,Cirque Colors,Rose Jelly,Dusky Rose,Jelly,,,Rose Quartz Nail Art Set
83,60,1,Cirque Colors,Chiffon Sheer ,Baby Pink,Sheer,,,Rose Quartz Nail Art Set
96,61,1,Cirque Colors,Rust,Burnt Sienna (Orangey Brown),Jelly,,,Tortoiseshell Nail Art Set
97,62,1,Cirque Colors,Camel ,Butterscotch ,Jelly,,,Tortoiseshell Nail Art Set
93,63,1,Cirque Colors,Walnut,Brown,Jelly,,,Tortoiseshell Nail Art Set
137,64,2,Holo Taco,Rainbow Snow,Silver Jelly Base with Rainbow Glitter,Jelly & Glitter,,,Holoday Collection
40,65,1,Holo Taco,Midnight Spark,Blue Jelly Base with Blue & Rainbow Glitter,Jelly & Glitter,,,Holoday Collection
43,66,1,Holo Taco,Frost Light,Light Blue Jelly Base with Silver & Rainbow Glitter,Jelly & Glitter,,,Holoday Collection
5,67,1,Holo Taco,Party Punch,Red Jelly Base with Red Glitter,Jelly & Glitter,,,Holoday Collection
4,68,1,Holo Taco,Red Licorice,Red Holo,Holo,,,Rainbow Collection
90,69,1,Holo Taco,Play Rose,Rose Gold Jelly Base with Rainbow Glitter,Jelly & Glitter,,,Holoday Collection
9,70,1,Holo Taco,Orange Drink ,Orange Holo ,Holo,,,Rainbow Collection
13,71,1,Holo Taco,Lemon Sucker,Yellow Holo,Holo,,,Rainbow Collection
104,72,1,Holo Taco,Gift Receipt,Silver Foil,Foil,,,Frosted Metals Collection
11,73,1,Holo Taco,Cheap Champagne,Rose Gold Foil,Foil,,,Frosted Metals Collection
31,74,1,Holo Taco,Mint Money,Green Foil,Foil,,,Frosted Metals Collection
42,75,1,Holo Taco,Cold Shoulder,Blue Foil,Foil,,,Frosted Metals Collection
10,76,1,Holo Taco,Zyler the Cat ,Orange Jelly Base with Rainbow Glitter,Jelly & Glitter,,,Menchie & Zyler Duo
79,77,1,Holo Taco,Menchie the Cat,Baby Pink Jelly Base with Rainbow Glitter,Jelly & Glitter,,,Menchie & Zyler Duo
131,78,2,Holo Taco,Got Cake?,White Iridescent Base with Silver Foil,Foil,,,Birthday 2020 Launch
147,79,2,Holo Taco,Solar Unicorn Skin,Red Gold Iridescent Flakie Topper,Flakie Topper,,Topper,Unicorn Skin
25,80,1,Holo Taco,Green Taffy,Kelly Green Holo,Holo,,,Rainbow Collection
55,81,1,Holo Taco,Purple Slushie,Dark Purple Holo,Holo,,,Rainbow Collection
67,82,1,Holo Taco,Magenta Jelly,Magenta Holo,Holo,,,Rainbow Collection
41,83,1,Holo Taco,Blue Freezie,Blue Holo,Holo,,,Rainbow Collection
78,84,1,Holo Taco,Fake Date,Lilac Foil,Foil,,,Frosted Metals Collection
23,85,1,Holo Taco,Chameleon Coat,"Multichrome metallic green, gunmetal, & bronze",Multichrome,,,Multichrome Collection
39,86,1,Holo Taco,Blue Ain't Slick,"Multichrome metallic blue, indigo, & purple",Multichrome,,,Multichrome Collection
24,87,1,Holo Taco,Missed-Shift,"Multichrome metallic green, teal, purple, & magenta",Multichrome,,,Multichrome Collection
53,88,1,Holo Taco,Purple with Envy,"Multichrome metallic purple, blue, & gold",Multichrome,,,Multichrome Collection
70,89,1,Holo Taco,Cats' Evasion,"Multichrome metallic magenta, red, gold, bronze, & green",Multichrome,,,Multichrome Collection
52,90,1,Mooncat/LLP,Continuum,"Violet, magenta, & gold magnetic Multichrome",Magnetic,,Magnetic,Time Warp Collection
36,91,1,Mooncat/LLP,Timestream,Blue & purple magnetic Multichrome,Magnetic,,Magnetic,Time Warp Collection
69,92,1,Mooncat/LLP,Anachronic,"Pink, orange, gold, & green magnetic Multichrome",Magnetic,,Magnetic,Time Warp Collection
95,93,1,Mooncat/LLP,Futurity,"Red, orange, & gold with blue magnetic Multichrome",Magnetic,,Magnetic,Time Warp Collection
51,94,1,Mooncat/LLP,Millennia,"Violet, blue, & green magnetic Multichrome",Magnetic,,Magnetic,Time Warp Collection
121,95,2,Mooncat/LLP,Anomaly,"Gold, green, & purple magnetic Multichrome",Magnetic,,Magnetic,Time Warp Collection
34,96,1,Expressie,Express to Impress,Mint Green,Quick Dry,,,
7,97,1,Expressie,In a Flash Sale,Burnt Orange,Quick Dry,,,
22,98,1,Expressie,Precious Cargo-go!,Olive Khaki Green,Quick Dry,,,
74,99,1,Expressie,Crave the Chaos,Barbie Pink,Quick Dry,,,
47,100,1,Expressie,Air Dry,Blue Grey,Quick Dry,,,
88,101,1,Expressie,All things OOO,Pastel Peach,Quick Dry,,,
56,102,1,Expressie,IRL,Plum,Quick Dry,,,
130,103,2,Sally Hensen Insta-Dri,White on Time,White,Quick Dry,,,
87,104,1,Sally Hensen Insta-Dri,Leaf Lined Trail,Peachy Pink with Gold Holo,Quick Dry,,,
103,105,1,Sally Hensen Insta-Dri,Silver Sweep,Liquid Silver,Quick Dry,,,
44,106,1,Sally Hensen X-treme Wear,Blue Me Away,Sky Blue ,Crème,,,
122,107,2,Sally Hensen Complete Salon Manicure,Black Platinum,Black with Silver Holo,Holo,,,
80,108,1,Sally Hensen X-treme Wear,Strobe Light,Pink & Rainbow Glitter,Glitter ,,,
141,109,2,Sally Hensen Crackle Overcoat,Fuchsia Shock,Fuchsia Effect Topper,Crackle,,Topper,Crackle Effect
142,110,2,Essie,A Cut Above,Chunky Pink Glitter,Glitter ,,Topper,Chunky
108,111,1,Essie,Over the Edge,Gunmetal Holo,Holo,,,
100,112,1,Essie,Penny Talk,Metallic Bronze,Metallic,,,
62,113,1,Essie,Lapiz of Luxury,Light Blue Gray,Crème,,,
61,114,1,Essie,Boxer Shorts,Lilac,Crème,,,
48,115,1,Urban Outfitters,Head in the Clouds,Gray with Blue Undertones,Dead Thermal,,,Dead Thermal
17,116,1,Urban Outfitters,Envy,Dark Hunter Green,Crème,,,Looks black with coats
66,117,1,Ciate,Cabaret,Plum magenta,Crème,,,
82,118,1,Ciate,Strawberry Milkshake,Baby Pink,Crème,,,
35,119,1,Ciate,Pepperminty,Mint Teal,Crème,,,
77,120,1,Ciate,Candy Floss,Pastel Pink,Crème,,,
107,121,1,OPI,Lucerne-tainly Look Marvelous,Gunmetal with Silver Holo,,,,
85,122,1,OPI,Chicago Champagne Toast,Dusky Rose,,,,
72,123,1,Nicole by OPI,Ink a Dink a Pink,Hot Pink,,,,
140,124,2,Sephora by OPI,No Label,Baby Blue Holo,,,,
106,125,1,Sephora by OPI,Is She For Real?,Gunmetal with Gold Holo,,,,
1,126,1,Sephora,It Girl,Blood Red,,,,
133,127,2,Sephora ,Sugar Coated,Baby Pink Nude,,,,
134,128,2,Formula X by Sephora,Less is More,Taupe,,,,
89,129,1,Formula X by Sephora,Starfish,Ballet Pink Holo,,,,
139,130,2,Formula X by Sephora,Center of my Universe,Pink Glitter,,,,
76,131,1,Formula X by Sephora,Wavelength,Hot Pink Holo,,,,
92,132,1,Formula X by Sephora,Ecstasy,Black Base with Copper Glitter,,,,
